 ,Team,Games Played,Games Won,Games Lost,KDA (Avg),DPM (Avg),GPM (Avg)
,Axis Esports,21,6,15,1.0,625.7,158.9
,EVOS SG,21,15,6,1.7,755.1,203.1
,Geek Fam,20,16,4,2.3,770.0,205.6
,Orange Esports Reborn,24,11,13,0.9,580.0,154.6
,Notorious Villains,21,4,17,0.8,614.0,158.2
,Resurgence,20,17,3,2.0,711.6,176.1
,Siren Clan,21,6,15,0.9,620.8,163.1
,Team Bosskurr,25,14,11,1.0,491.3,142.2
,Todak,24,11,13,1.4,540.9,151.4
,Team SMG,23,10,13,1.1,438.8,132.2
